,playerShort,yellowReds,goals,birthday,ties,leagueCountry,black,defeats,weight,victories,height,meanExp,yellowCards,games,redCards,position,meanIAT,club
43,43,0,45,10.06.1981,41,3,0,52,73.0,104,175.0,0.6802812214625874,36,197,1,11,0.3643446331360415,62
44,44,1,1,27.01.1991,36,2,0,50,68.0,50,175.0,0.43994462855592426,22,136,0,4,0.34779191967364914,91
45,45,4,28,10.11.1985,57,0,0,90,80.0,138,187.0,0.5184422670843358,50,285,3,6,0.36035513210382275,48
46,46,0,16,16.02.1992,10,2,0,29,65.0,38,175.0,0.3359668924003007,7,77,0,12,0.3366281626427213,91
47,47,0,16,11.01.1988,30,3,0,54,66.0,57,174.0,0.5882973115445439,32,141,0,3,0.3698935941871718,20
48,48,0,2,11.05.1991,15,0,1,13,72.0,6,180.0,0.3783229999822158,3,34,0,2,0.3328523892949097,48
49,49,0,26,15.08.1993,27,0,0,32,70.0,80,180.0,0.4062893837709082,5,139,0,12,0.33840488005297403,6
50,50,0,4,23.07.1993,5,3,0,10,77.0,5,185.0,0.5882973115445439,5,20,0,2,0.36989359418717194,75
51,51,0,1,31.10.1991,1,0,0,4,54.0,9,175.0,0.356445562281524,1,14,0,12,0.3266896837267241,43
52,52,2,11,09.09.1987,65,3,1,73,74.0,209,182.0,0.38730353323064004,67,347,0,4,0.33326059823810733,29
53,53,0,3,15.10.1992,12,3,0,26,68.0,30,180.0,0.5795861270284357,8,68,1,3,0.3679958024542871,67
54,54,0,38,17.06.1982,81,1,0,47,92.0,243,188.0,0.4863844781902815,48,371,2,1,0.350102827345359,59
55,55,1,12,11.02.1989,26,0,0,58,75.0,54,174.0,0.44632160164454565,18,138,0,6,0.3454160828696978,49
56,56,1,36,25.03.1990,43,2,0,57,85.0,85,183.0,0.36795694147147523,25,185,0,8,0.338851877413412,0
57,57,0,2,03.04.1993,7,2,0,26,72.0,25,183.0,0.3359668924003008,2,58,0,4,0.33662816264272116,25
58,58,4,31,11.07.1982,90,2,0,103,92.0,132,193.0,0.41508546684299574,42,325,3,1,0.34407714158118435,90
59,59,0,0,04.06.1977,96,2,0,111,83.0,115,188.0,0.4657721176153302,11,322,1,5,0.3579672300222351,28
60,60,2,106,17.01.1983,85,2,0,136,84.0,121,196.0,0.37206787773783806,39,342,0,0,0.34007356231825103,25
61,61,0,0,04.01.1992,2,1,0,2,70.0,1,174.0,0.5772308653476338,1,5,0,12,0.3122493453204518,58
62,62,1,6,09.04.1991,23,2,0,31,72.0,49,173.0,0.556883561580586,14,103,0,10,0.3567218801542213,15
63,63,0,0,02.06.1992,22,2,0,26,83.0,41,189.0,0.3470822051873224,1,89,0,5,0.3379648632829652,72
64,64,0,11,04.04.1986,54,0,1,72,68.0,88,180.0,0.5081846999337986,34,214,0,4,0.3455905854073303,54
65,65,0,68,17.06.1982,53,1,1,65,70.0,111,176.0,0.4057856347410687,33,229,2,11,0.3396503698402933,78
66,66,2,42,28.05.1991,31,1,1,45,73.0,77,174.0,0.4951093279709205,18,153,1,2,0.3497673668858118,57
67,67,7,16,04.08.1985,57,3,0,102,80.0,96,183.0,0.589130591993439,77,255,4,1,0.3636137722032505,35
68,68,2,96,19.12.1988,67,3,0,91,73.0,215,170.0,0.5633238896079937,60,373,2,11,0.36508473743969416,29
69,69,0,53,23.11.1986,51,3,0,85,73.0,91,175.0,0.5638319896019786,25,227,0,0,0.3660161257379068,61
70,70,0,7,30.09.1992,21,3,1,49,68.0,38,174.0,0.4859853087434362,18,108,1,10,0.33740267057963563,62
71,71,0,18,06.02.1992,23,2,0,32,77.0,22,178.0,0.33596689240030075,8,77,1,12,0.3366281626427212,33
72,72,1,1,10.05.1988,36,3,1,64,81.0,48,186.0,0.5818569851761266,42,148,0,12,0.36869348556327053,37
73,73,0,3,01.09.1988,27,2,0,43,68.0,46,169.0,0.4552664815511778,27,116,2,4,0.34428229973740204,0
74,74,5,24,15.07.1981,109,0,1,116,79.0,195,190.0,0.45154962893211065,91,420,2,4,0.34408914682728675,93
75,75,0,0,27.02.1993,14,1,0,7,88.0,26,190.0,0.40108600081226226,0,47,0,5,0.34067041097166306,59
76,76,0,3,08.01.1990,34,3,0,50,76.0,30,183.0,0.5943224958431585,43,114,2,1,0.3702311176152107,70
77,77,0,150,20.08.1985,58,3,0,101,87.0,162,186.0,0.49820847271001345,27,321,5,2,0.3497022606780433,75
78,78,3,4,18.04.1979,78,3,0,99,80.0,80,178.0,0.5882973115445439,45,257,0,4,0.3698935941871718,69
79,79,1,2,12.09.1994,12,3,0,24,69.0,19,180.0,0.5716121750681497,9,55,0,8,0.3638890295096135,64
80,80,0,32,27.04.1991,27,3,0,59,71.0,50,182.0,0.5311563941615699,9,136,0,2,0.3553286878736849,35
81,81,0,3,19.05.1991,10,3,0,10,80.0,9,182.0,0.5995945321044464,5,29,0,2,0.37052645061474476,61
82,82,0,4,15.09.1987,51,3,1,53,75.0,109,181.0,0.4990714289969818,28,213,3,6,0.3533577917144632,87
83,83,4,5,31.05.1983,37,3,0,44,86.0,45,192.0,0.5763788663843971,40,126,1,1,0.3661483378258464,64
84,84,0,11,06.08.1993,22,2,0,32,67.0,47,168.0,0.384578185107979,1,101,0,10,0.34054043809316964,15
85,85,2,12,20.04.1987,27,1,1,31,81.0,41,186.0,0.08985086666234485,19,99,0,6,0.29275196778901297,3
86,86,9,5,29.03.1985,65,3,0,111,85.0,98,192.0,0.559292469392451,93,274,4,1,0.3617288062794211,9
87,87,2,23,30.03.1979,83,2,0,94,75.0,229,181.0,0.6369722043512543,62,406,2,4,0.3612380438604485,12
88,88,1,21,14.08.1989,57,3,0,72,73.0,101,182.0,0.5601217120295742,62,230,4,0,0.3628495916353286,9
89,89,0,0,13.04.1984,20,0,0,30,80.0,50,193.0,0.5629303373674172,1,100,0,5,0.34396874583603193,49
90,90,2,1,24.10.1989,7,3,0,20,81.0,5,188.0,0.6136395959438191,3,32,0,1,0.36940227158317224,61
91,91,0,13,13.04.1988,27,0,1,45,69.0,148,176.0,0.5154831817826036,19,220,0,3,0.35688105881755405,49
92,92,0,56,17.12.1989,67,1,1,74,72.0,107,176.0,0.3814294940792051,45,248,1,0,0.3376231989361814,58
93,93,1,2,01.01.1993,14,1,1,15,75.0,21,173.0,0.25530140831314585,9,50,0,12,0.31405833766777846,36
94,94,1,32,07.09.1990,28,2,0,48,74.0,60,180.0,0.33596689240030053,15,136,2,7,0.33662816264272144,33
95,95,1,11,28.02.1993,24,2,0,53,79.0,51,187.0,0.38395165803145453,35,128,1,4,0.339775943404183,47
96,96,2,21,27.01.1980,82,1,1,99,76.0,89,184.0,0.4117851115672705,53,270,3,1,0.34304708979785464,4
97,97,0,101,05.12.1985,94,1,0,94,84.0,115,186.0,0.44547298875667984,31,303,0,2,0.3460265281553526,58
98,98,0,28,08.03.1983,47,0,0,43,74.0,108,180.0,0.5105002543192939,44,198,1,6,0.35668548619971063,6
99,99,1,4,02.03.1989,34,3,0,53,72.0,52,178.0,0.6352024804185684,22,139,0,3,0.3734496370438383,23
100,100,0,85,06.11.1990,55,2,0,70,74.0,137,184.0,0.4190362492977041,11,262,1,8,0.34338774129052296,11
101,101,0,0,30.09.1989,31,2,0,36,86.0,31,189.0,0.3359668924003007,4,98,1,5,0.3366281626427213,89
102,102,0,1,09.05.1993,15,0,1,13,78.0,35,186.0,0.42192427107756353,6,63,1,12,0.33518879191099904,45
103,103,1,7,13.03.1987,72,2,0,99,70.0,125,180.0,0.4321056062951199,57,296,0,9,0.34438843994578233,2
104,104,0,76,15.10.1983,122,2,0,150,82.0,188,184.0,0.49274706901450166,62,460,1,0,0.3545303430161213,1
105,105,4,39,15.10.1984,74,2,0,88,69.0,132,172.0,0.3359668924003006,62,294,1,4,0.3366281626427214,33
106,106,0,19,01.03.1985,69,2,0,74,77.0,153,185.0,0.4120191312561891,23,296,1,4,0.3435098427085542,28
107,107,0,32,05.08.1991,37,0,0,61,72.0,50,179.0,0.47876130323098287,12,148,0,2,0.3451070437341088,8
108,108,1,45,28.09.1986,83,3,0,117,67.0,178,169.0,0.5144509075598185,46,378,0,7,0.35457865351773177,87
109,109,0,3,15.03.1987,17,3,0,39,83.0,43,187.0,0.5908584447727555,17,99,0,1,0.36831823425194443,20
110,110,0,85,29.05.1981,92,0,0,78,69.0,188,172.0,0.6540036030979379,34,358,2,2,0.3614669936092162,6
111,111,4,56,24.04.1981,55,3,0,89,84.0,94,188.0,0.5814125203754672,38,238,0,2,0.36709730354449693,62
112,112,2,121,21.07.1979,111,2,0,153,81.0,198,174.0,0.5607517128142587,61,462,1,2,0.35544810203743227,33
113,113,0,17,16.07.1991,33,0,0,58,76.0,67,183.0,0.41408109537616283,15,158,1,7,0.33426886941531164,84
114,114,0,58,06.01.1989,48,0,0,79,76.0,86,191.0,0.4131694319280408,29,213,2,12,0.3371480815337062,93
115,115,2,134,10.02.1981,101,0,0,128,70.0,149,170.0,0.42648566392734205,30,378,0,2,0.3376365990627636,60
116,116,5,9,10.03.1981,93,3,0,139,71.0,157,180.0,0.550931536302632,87,389,2,9,0.3607755985681837,64
117,117,3,69,14.02.1988,79,3,0,70,70.0,243,180.0,0.593919155231024,62,392,3,8,0.3637439056751349,66
118,118,1,43,26.04.1987,44,3,0,69,68.0,64,172.0,0.5956858177424971,18,177,0,2,0.36870336076762944,42
119,119,0,11,13.07.1982,45,3,0,60,84.0,74,192.0,0.5913218953000515,27,179,0,1,0.36787846865596807,68
120,120,0,1,21.07.1986,44,3,1,44,64.0,91,175.0,0.4272600595456355,32,179,1,4,0.3356453321618261,18
121,121,0,46,03.10.1984,81,1,0,148,73.0,84,184.0,0.3797788163215009,27,313,3,11,0.33498911730849906,88
122,122,0,0,01.10.1990,12,1,0,15,81.0,27,184.0,0.4322657535164152,3,54,0,5,0.3365324247380284,57
123,123,0,20,27.09.1987,60,1,0,65,65.0,61,174.0,0.3896344299354016,19,186,0,7,0.338932968968028,51
124,124,1,9,10.11.1979,138,1,0,140,77.0,285,180.0,0.4694109448696766,91,563,1,9,0.3513126137650129,57
125,125,0,58,21.03.1991,53,3,0,72,68.0,94,176.0,0.5973589505299818,29,219,0,8,0.36488403544714887,68
126,126,3,14,30.07.1982,60,0,0,69,78.0,87,184.0,0.5950408836829689,43,216,3,1,0.3640984370416024,94
127,127,0,5,18.02.1985,68,0,0,129,78.0,120,178.0,0.345227284123008,31,317,0,1,0.33244836590443466,60
128,128,0,11,10.06.1987,36,2,0,64,74.0,39,180.0,0.664581140537205,24,139,0,3,0.3640539114766824,72
129,129,2,16,13.09.1981,92,3,0,114,74.0,138,176.0,0.5555793731535293,61,344,3,6,0.3637591769657003,61
130,130,1,8,03.03.1993,26,2,1,47,85.0,40,190.0,0.41602521986275554,24,113,3,1,0.34331863248174327,89
131,131,1,3,26.01.1984,70,3,0,84,74.0,95,177.0,0.4583904054906766,37,249,0,9,0.35232779204890236,69
132,132,3,36,04.08.1985,68,0,1,105,70.0,171,175.0,0.5110703990068527,48,344,3,11,0.34954188337411485,49
133,133,0,31,13.02.1984,43,3,0,64,72.0,65,173.0,0.5882973115445439,45,172,1,4,0.3698935941871718,70
134,134,1,35,27.07.1980,40,3,0,86,82.0,73,184.0,0.5790151013444116,37,199,1,2,0.36657905985867273,70
135,135,1,1,18.09.1979,90,3,0,137,80.0,143,184.0,0.560017364954058,36,370,4,5,0.3633600573425086,23
136,136,5,6,17.01.1983,71,3,0,49,79.0,244,184.0,0.5127255697936278,85,364,0,9,0.35127984808085566,66
137,137,1,71,30.01.1987,84,3,0,92,76.0,209,177.0,0.4827894735289324,75,385,3,8,0.3593023061668412,10
138,138,1,73,19.09.1984,68,2,1,84,96.0,88,190.0,0.30732494854077697,22,240,2,2,0.33478357552327836,28
139,139,2,36,03.03.1984,72,3,0,98,76.0,100,189.0,0.5670171218163454,35,270,0,2,0.3655407658558461,61
140,140,2,170,23.01.1984,80,2,0,94,80.0,347,180.0,0.4988960191366737,50,521,2,11,0.35363721048672636,12
141,141,1,3,08.10.1989,40,0,1,60,82.0,48,185.0,0.40139215272363876,10,148,0,6,0.3376052782193162,60
142,142,0,15,28.01.1985,60,1,1,81,67.0,78,172.0,0.394586434435167,10,219,0,4,0.33857171212413334,57
143,143,0,95,11.11.1983,61,0,1,107,81.0,160,181.0,0.46936530582902114,12,328,0,2,0.3525370688359338,94
144,144,4,5,01.05.1989,30,3,0,66,77.0,52,185.0,0.5882973115445439,48,148,2,1,0.3698935941871719,18
145,145,0,0,03.10.1994,7,3,0,6,81.0,18,186.0,0.5699344193756392,2,31,0,5,0.36675773441477727,9
146,146,2,12,02.04.1983,95,2,1,148,67.0,147,166.0,0.4033171789509719,66,390,2,6,0.34290848501133064,89
147,147,1,59,13.01.1988,30,2,0,65,81.0,62,183.0,0.5538966046989839,17,157,0,11,0.3514800964709468,38
148,148,0,0,20.02.1980,84,0,0,90,88.0,190,193.0,0.510583213734695,24,364,0,5,0.3569213562952078,76
149,149,1,45,12.06.1990,35,2,0,66,81.0,70,185.0,0.5413069082794565,26,171,1,2,0.3514986322358712,39
150,150,1,0,28.06.1989,31,3,0,55,85.0,62,189.0,0.5348181296380454,5,148,0,5,0.3605641313855465,10
151,151,1,56,05.07.1986,71,0,0,119,74.0,131,181.0,0.4090087309508543,55,321,4,8,0.34403775827959976,34
152,152,1,16,20.12.1980,146,0,0,112,67.0,404,170.0,0.5003813337403936,106,662,3,6,0.35098280434360934,21
153,153,1,77,09.07.1985,114,0,1,113,65.0,193,180.0,0.40403303869637336,57,420,2,7,0.33813027430099124,49
154,154,0,1,20.06.1987,52,0,0,72,83.0,69,198.0,0.4329174195350433,11,193,1,5,0.3436290696460109,81
155,155,3,13,25.01.1986,60,2,1,87,89.0,94,190.0,0.33596689240030053,21,241,1,1,0.33662816264272133,91
156,156,0,6,27.03.1988,56,2,0,68,62.0,136,176.0,0.4160786061162436,35,260,1,9,0.3449280035200018,31
157,157,3,31,10.04.1986,65,3,0,92,71.0,116,177.0,0.5791969236070821,50,273,1,10,0.36507875945786006,20
158,158,1,20,20.06.1985,69,1,1,53,75.0,115,184.0,0.372536939735206,34,237,1,1,0.3357278951585462,44
159,159,1,6,03.01.1992,30,3,0,37,82.0,53,182.0,0.5770451399544569,25,120,1,1,0.36450095088905304,9
160,160,1,17,17.05.1983,79,2,0,96,76.0,103,182.0,0.33596689240030064,40,278,1,7,0.33662816264272133,33
161,161,0,0,01.01.1993,11,2,0,29,80.0,33,189.0,0.33896562444181855,5,73,1,5,0.33181043256223614,25
162,162,1,4,25.05.1982,51,3,0,78,75.0,92,175.0,0.5882973115445439,56,221,1,6,0.3698935941871718,23
163,163,1,4,28.08.1989,65,0,0,91,70.0,133,178.0,0.4637457903469197,41,289,0,9,0.34722387062881205,21
164,164,1,47,05.01.1988,41,3,1,65,76.0,57,179.0,0.6962568943097022,12,163,0,2,0.38462886557345827,75
165,165,0,5,14.02.1983,108,0,1,97,72.0,227,176.0,0.4751603902188757,44,432,2,9,0.34607898011782784,6
166,166,1,2,02.03.1989,27,3,0,43,75.0,45,181.0,0.5882973115445439,27,115,1,4,0.3698935941871719,26
167,167,1,129,06.08.1985,102,1,1,112,77.0,158,184.0,0.46198702731803576,19,372,0,2,0.3449421780007561,57
168,168,2,9,27.04.1988,50,1,1,56,80.0,77,188.0,0.2833319897895794,28,183,2,12,0.3227152182805823,57
169,169,1,0,29.02.1988,43,3,0,50,70.0,67,177.0,0.5882973115445439,26,160,0,6,0.3698935941871718,69
170,170,10,10,04.09.1975,136,3,0,185,90.0,188,188.0,0.5718325914075763,128,509,5,1,0.36378917949874917,42
171,171,0,4,10.01.1988,34,2,1,46,80.0,62,188.0,0.37955656490179623,11,142,0,1,0.34143559549240343,25
172,172,0,0,29.06.1994,0,1,0,0,77.0,1,184.0,1.03140703517588,1,1,0,1,0.396512199643863,58
173,173,0,4,24.08.1980,46,3,0,50,79.0,54,179.0,0.5882973115445439,35,150,1,12,0.3698935941871719,69
174,174,0,0,05.04.1979,6,1,1,9,71.0,11,177.0,-0.10873133046149064,1,26,0,5,0.2689810464592948,44
175,175,1,56,27.04.1979,56,3,0,122,71.0,105,180.0,0.5841236648054625,37,283,2,7,0.3651070733436532,42
176,176,2,4,12.06.1987,36,3,0,47,83.0,76,187.0,0.5482653641285135,43,159,1,9,0.36058345349025006,87
177,177,0,6,15.01.1991,22,3,0,23,70.0,81,183.0,0.5769054711868128,19,126,0,1,0.35699357530681336,29
178,178,0,83,31.05.1989,49,2,0,63,85.0,72,192.0,0.399392936021992,11,184,0,2,0.3457436518915697,90
179,179,0,2,31.07.1991,22,2,0,38,75.0,32,185.0,0.33596689240030064,15,92,0,4,0.33662816264272133,33
180,180,0,2,12.01.1989,33,2,0,68,87.0,65,184.0,0.3888599098557853,10,166,0,6,0.3405039792671284,25
181,181,2,91,01.08.1984,113,2,0,101,79.0,397,183.0,0.4658778810423478,90,611,1,4,0.3484721582224037,12
182,182,0,13,12.07.1990,15,0,1,28,,18,190.0,0.6164837038281968,5,61,0,12,0.37389849821248494,49
183,183,1,2,10.11.1986,26,2,0,41,81.0,69,188.0,0.4434066447259911,19,136,0,1,0.3478662381549048,72
184,184,2,1,24.04.1985,23,3,0,54,72.0,32,178.0,0.5882973115445439,19,109,0,7,0.3698935941871719,20
185,185,0,0,03.04.1983,68,0,0,90,80.0,89,188.0,0.38042591429856193,9,247,1,5,0.3301586599599308,92
186,186,0,15,19.02.1987,30,3,0,48,72.0,67,175.0,0.5679370997204519,47,145,0,3,0.36655901750588465,64
187,187,2,21,29.02.1988,54,2,0,82,80.0,159,187.0,0.47077139276989466,27,295,3,1,0.3472122896940855,31
188,188,0,9,19.11.1989,43,2,0,50,90.0,42,197.0,0.34160275186671274,12,135,1,1,0.3369080100903906,89
189,189,0,52,04.08.1980,85,2,0,123,66.0,149,172.0,0.35307338595583077,32,357,1,7,0.3390779050721483,25
190,190,3,55,02.01.1977,113,1,0,144,75.0,95,178.0,0.33916703245829766,38,352,1,12,0.33453997551520015,24
191,191,0,3,13.08.1990,34,1,0,41,75.0,44,180.0,0.4247693673452606,12,119,2,4,0.3436770179411458,51
192,192,0,0,08.08.1993,17,2,0,23,78.0,24,190.0,0.33596689240030075,0,64,0,5,0.3366281626427212,0
193,193,2,4,24.03.1984,85,0,0,92,69.0,154,180.0,0.40119506943957683,50,331,2,6,0.3357884439447805,83
194,194,2,34,03.05.1981,131,1,0,148,78.0,209,182.0,0.48092749291846554,80,488,0,4,0.3500408580194196,58
195,195,0,0,03.07.1987,67,1,0,78,78.0,85,186.0,0.40873865852720337,6,230,2,12,0.3417108660880816,80
196,196,1,30,12.11.1980,119,1,0,125,69.0,194,177.0,0.4314643631308338,83,438,1,4,0.3428771772805613,44
197,197,0,6,28.12.1985,62,1,0,49,64.0,114,173.0,0.5513311273994453,21,225,2,6,0.35370646462113975,36
198,198,3,10,20.08.1981,108,1,0,154,77.0,119,180.0,0.43987081615338264,84,381,3,9,0.3421287350512662,78
199,199,0,0,04.03.1992,48,2,0,62,79.0,98,190.0,0.4201155948517459,9,208,0,5,0.3419985229426145,11
200,200,2,53,28.09.1986,58,2,0,86,79.0,112,180.0,0.33656437196632727,59,256,1,10,0.33675391662367593,77
201,201,1,1,13.04.1977,86,1,0,121,79.0,116,184.0,0.4478668932980168,14,323,3,12,0.34803832726204026,96
202,202,0,0,16.02.1992,1,3,0,0,73.0,1,176.0,0.5882973115445439,0,2,0,12,0.36989359418717205,61
203,203,0,3,15.05.1990,22,3,0,30,78.0,23,180.0,0.5882973115445439,25,75,1,12,0.3698935941871719,61
204,204,0,0,02.06.1993,8,1,1,5,70.0,3,187.0,0.3437263670063242,0,16,1,12,0.3357205642094571,58
205,205,2,21,09.04.1987,89,1,1,108,70.0,167,175.0,0.4436225395984581,59,364,0,4,0.3461448190390586,59
206,206,1,28,07.01.1985,66,1,0,67,71.0,116,175.0,0.5840396812402227,53,249,0,10,0.3594756371005398,5
207,207,0,3,04.08.1979,46,2,0,62,87.0,71,190.0,0.43847682919134023,29,179,0,1,0.3474308799476114,1
208,208,0,0,09.11.1982,78,0,0,132,92.0,101,191.0,0.4209741216622963,14,311,1,5,0.3354153399739497,92
209,209,1,98,16.01.1981,86,0,0,153,75.0,157,186.0,0.3990451533978865,35,396,1,2,0.3351460828216524,60
210,210,1,4,28.12.1986,53,1,1,66,69.0,77,172.0,0.31205652243151155,28,196,1,4,0.3307368725228452,79
211,211,1,41,25.10.1977,53,3,0,100,76.0,67,181.0,0.5093397816886157,28,220,3,2,0.35402510763885164,23
212,212,0,10,16.03.1990,29,2,0,36,76.0,47,182.0,0.3894581071569232,6,112,0,0,0.34125738834572533,2
213,213,2,4,14.05.1988,21,3,0,41,77.0,31,184.0,0.7703355725878308,25,93,0,12,0.3806906509760706,37
214,214,1,4,17.05.1982,38,3,0,83,75.0,79,180.0,0.5701429726298913,34,200,0,4,0.3659726319857126,20
215,215,4,4,14.01.1981,51,3,0,79,73.0,94,185.0,0.5858606725837475,55,224,1,4,0.36824819650348384,35
216,216,0,6,24.08.1982,78,0,0,78,75.0,158,183.0,0.5165506336519821,41,314,2,9,0.3580912605724679,60
217,217,0,1,18.05.1971,151,0,0,184,91.0,247,193.0,0.4583173554506308,7,582,1,5,0.3416190878604054,83
218,218,0,0,09.09.1984,42,0,0,70,95.0,76,193.0,0.41903462742270886,9,188,0,5,0.33355036033088664,8
219,219,0,0,19.03.1982,36,0,0,45,79.0,43,193.0,0.3808787061114771,4,124,2,5,0.33353009885077906,45
220,220,0,9,10.12.1991,15,0,0,26,71.0,18,176.0,0.35644556228152385,6,59,0,0,0.3266896837267238,22
221,221,0,84,16.06.1980,63,1,0,71,78.0,144,189.0,0.6171300434858549,61,278,2,2,0.36118837557807487,5
222,222,0,37,12.01.1993,20,2,0,45,74.0,37,185.0,0.4629874400807946,12,102,0,12,0.34182319771362873,15
223,223,0,40,22.02.1984,76,0,0,104,78.0,214,182.0,0.579986164856992,66,394,3,1,0.3573864863080351,21
224,224,0,1,02.11.1989,21,3,1,34,71.0,31,174.0,0.6939239926013729,11,86,0,6,0.3839599163938434,37
225,225,0,19,20.06.1981,103,0,0,148,85.0,161,195.0,0.5375451910414701,38,412,1,1,0.3543952488448213,34
226,226,2,58,27.03.1984,74,0,0,105,75.0,142,176.0,0.4572859460455857,20,321,0,0,0.34994168656367863,8
